ColumnName	Label
J1 Overall Winner	J1 Overall Winner
J1 East Predictions [First Place]	J1 East - 1st Place
J1 East Predictions [Second Place]	J1 East - 2nd Place
J1 East Predictions [Third Place]	J1 East - 3rd Place
J1 East Predictions [Third from Last Place]	J1 East - 3rd from Last
J1 East Predictions [Second from Last Place]	J1 East - 2nd from Last
J1 East Predictions [Last Place]	J1 East - Last Place
J1 West Predictions [First Place]	J1 West - 1st Place
J1 West Predictions [Second Place]	J1 West - 2nd Place
J1 West Predictions [Third Place]	J1 West - 3rd Place
J1 West Predictions [Third from Last Place]	J1 West - 3rd from Last
J1 West Predictions [Second from Last Place]	J1 West - 2nd from Last
J1 West Predictions [Last Place]	J1 West - Last Place
J2/3 Overall Winner	J2/J3 Overall Winner
J2/J3 – EAST-A Group Predictions [First Place]	J2/J3 East-A - 1st Place
J2/J3 – EAST-A Group Predictions [Last Place]	J2/J3 East-A - Last Place
J2/J3 – EAST-B Group Predictions [First Place]	J2/J3 East-B - 1st Place
J2/J3 – EAST-B Group Predictions [Last Place]	J2/J3 East-B - Last Place
J2/J3 – WEST-A Group Predictions [First Place]	J2/J3 West-A - 1st Place
J2/J3 – WEST-A Group Predictions [Last Place]	J2/J3 West-A - Last Place
J2/J3 – WEST-A Group B Predictions [First Place]	J2/J3 West-B - 1st Place
J2/J3 – WEST-A Group B Predictions [Last Place]	J2/J3 West-B - Last Place
